Type,Slot,Item,Dungeon,value,Stat,Link,ID
Cloth,Waist,Excavator's Safety Belt,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=159226/excavators-safety-belt,159226
Cloth,Legs,Ancient Hardened Legwraps,The Rookery,rook,,https://www.wowhead.com/ptr-2/item=221050/ancient-hardened-legwraps,221050
Cloth,Legs,Razorchoke Slacks,Operation: Floodgate,fg,,https://www.wowhead.com/ptr-2/item=234495/razorchoke-slacks,234495
Cloth,Legs,Royal Attendant's Trousers,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168988/royal-attendants-trousers,168988
Cloth,Legs,Rowdy Reveler's Legwraps,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=158350/rowdy-revelers-legwraps,158350
Cloth,Feet,Nonconductive Kill-o-Socks,Operation: Floodgate,fg,,https://www.wowhead.com/ptr-2/item=234497/nonconductive-kill-o-socks,234497
Cloth,Feet,Hyperthread Boots,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168964/hyperthread-boots,168964
Cloth,Feet,Deranged Alchemist's Slippers,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=159235/deranged-alchemists-slippers,159235
Leather,Head,Helm of the Righteous Crusade,Priory of the Sacred Flame,psf,,https://www.wowhead.com/ptr-2/item=221125/helm-of-the-righteous-crusade,221125
Leather,Head,Waterworks Filtration Mask,Operation: Floodgate,fg,,https://www.wowhead.com/ptr-2/item=234498/waterworks-filtration-mask,234498
Leather,Head,Mekgineer's Mindbending Headgear,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=235224/mekgineers-mindbending-headgear,235224
Leather,Head,High Altitude Turban,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=235419/high-altitude-turban,235419
Leather,Shoulder,Fireproof Cinderbee Perch,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221201/fireproof-cinderbee-perch,221201
Leather,Shoulder,Mechanized Junkpads,Operation: Floodgate,fg,,https://www.wowhead.com/ptr-2/item=234500/mechanized-junkpads,234500
Leather,Shoulder,Extravagant Epaulets,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=235811/extravagant-epaulets,235811
Leather,Chest,Seraphic Wraps of the Ordained,Priory of the Sacred Flame,psf,,https://www.wowhead.com/ptr-2/item=221130/seraphic-wraps-of-the-ordained,221130
Leather,Chest,Jerkin of Awakened Stone,The Rookery,rook,,https://www.wowhead.com/ptr-2/item=221049/jerkin-of-awakened-stone,221049
Leather,Chest,Vest of Concealed Secrets,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178795/vest-of-concealed-secrets,178795
Leather,Chest,Venture Co. Plenipotentiary Vest,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=235417/venture-co-plenipotentiary-vest,235417
Leather,Wrist,Battle-Scarred Fisticuffs,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221053/battle-scarred-fisticuffs,221053
Leather,Wrist,Disturbed Kelp Wraps,Operation: Floodgate,fg,,https://www.wowhead.com/ptr-2/item=234499/disturbed-kelp-wraps,234499
Leather,Wrist,Servo-Arm Bindings,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=158353/servo-arm-bindings,158353
Leather,Hands,Shimmering Glimclaws,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221102/shimmering-glimclaws,221102
Leather,Hands,Tempestwind Handlers,The Rookery,rook,,https://www.wowhead.com/ptr-2/item=221036/tempestwind-handlers,221036
Leather,Hands,Self-Sanitizing Handwraps,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168985/self-sanitizing-handwraps,168985
Leather,Hands,Corrosive Handler's Gloves,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=159305/corrosive-handlers-gloves,159305
Leather,Waist,Brewery Toiler's Waistband,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221058/brewery-toilers-waistband,221058
Leather,Waist,Gleamkeeper's Buckle,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221107/gleamkeepers-buckle,221107
Leather,Waist,Girdle of Shattered Dreams,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178805/girdle-of-shattered-dreams,178805
Leather,Waist,Mad King's Sporran,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168986/mad-kings-sporran,168986
Leather,Waist,Mekgineer's Championship Belt,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168957/mekgineers-championship-belt,168957
Leather,Waist,Unscrupulous Geologist's Belt,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=159725/unscrupulous-geologists-belt,159725
Leather,Legs,Shadowspawn Leggings,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221114/shadowspawn-leggings,221114
Leather,Legs,Squallrider's Kilt,The Rookery,rook,,https://www.wowhead.com/ptr-2/item=221042/squallriders-kilt,221042
Leather,Legs,Fearless Challenger's Leggings,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178801/fearless-challengers-leggings,178801
Leather,Legs,Flame-Seared Leggings,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168968/flame-seared-leggings,168968
Leather,Feet,Backbreaking Bootstrappers,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221071/backbreaking-bootstrappers,221071
Leather,Feet,Stalwart Guardian's Boots,Priory of the Sacred Flame,psf,,https://www.wowhead.com/ptr-2/item=221120/stalwart-guardians-boots,221120
Leather,Feet,Vanquished Usurper's Footpads,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178797/vanquished-usurpers-footpads,178797
Leather,Feet,Machinist's Treasured Treads,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168975/machinists-treasured-treads,168975
Leather,Feet,Mercenary Miner's Boots,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=159336/mercenary-miners-boots,159336
Mail,Head,"""Azeroth's Greatest BEE.E.O."" Cap",Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221070/azeroths-greatest-bee-e-o-cap,221070
Mail,Head,Gloaming Visage,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221113/gloaming-visage,221113
Mail,Head,Amphitheater Stalker's Hood,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178799/amphitheater-stalkers-hood,178799
Mail,Head,Psychogenic Prognosticator's Lenses,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=235223/psychogenic-prognosticators-lenses,235223
Mail,Shoulder,Mole Knight's Grimemail,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221098/mole-knights-grimemail,221098
Mail,Shoulder,Amice of Oblivion,The Rookery,rook,,https://www.wowhead.com/ptr-2/item=221048/amice-of-oblivion,221048
Mail,Shoulder,Skystreak's Hidden Missiles,Operation: Floodgate,fg,,https://www.wowhead.com/ptr-2/item=234503/skystreaks-hidden-missiles,234503
Mail,Shoulder,Crashguard Spaulders,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=235416/crashguard-spaulders,235416
Mail,Chest,Boltbreaker Armor,The Rookery,rook,,https://www.wowhead.com/ptr-2/item=221041/boltbreaker-armor,221041
Mail,Chest,Bront's Singed Blastcoat,Operation: Floodgate,fg,,https://www.wowhead.com/ptr-2/item=234502/bronts-singed-blastcoat,234502
Mail,Chest,Triumphant Combatant's Chainmail,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178794/triumphant-combatants-chainmail,178794
Mail,Chest,Circuit-Linked Chainmail,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=235810/circuit-linked-chainmail,235810
Mail,Chest,Shrapnel-Dampening Chestguard,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=235460/shrapnel-dampening-chestguard,235460
Mail,Wrist,I'pa's Pale Aleguards,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221059/ipas-pale-aleguards,221059
Mail,Wrist,Consecrated Baron's Bindings,Priory of the Sacred Flame,psf,,https://www.wowhead.com/ptr-2/item=221124/consecrated-barons-bindings,221124
Mail,Wrist,Gold-Coated Superconductors,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168967/gold-coated-superconductors,168967
Mail,Wrist,Bindings of Enraged Earth,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=158357/bindings-of-enraged-earth,158357
Mail,Hands,Holybound Grips,Priory of the Sacred Flame,psf,,https://www.wowhead.com/ptr-2/item=221119/holybound-grips,221119
Mail,Hands,Grips of Overwhelming Beatings,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178798/grips-of-overwhelming-beatings,178798
Mail,Hands,Swift Pneumatic Grips,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168971/swift-pneumatic-grips,168971
Mail,Hands,Linked Pummeler Grips,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=159357/linked-pummeler-grips,159357
Mail,Waist,Scent-Strong Candlecord,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221101/scent-strong-candlecord,221101
Mail,Waist,Portable Power Generator,Operation: Floodgate,fg,,https://www.wowhead.com/ptr-2/item=234501/portable-power-generator,234501
Mail,Waist,Maniacal Monarch's Girdle,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168983/maniacal-monarchs-girdle,168983
Mail,Waist,Shalebiter Interlinked Chain,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=159361/shalebiter-interlinked-chain,159361
Mail,Legs,Pollen-Lugger Treads,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221065/pollen-lugger-treads,221065
Mail,Legs,Divine Pyrewalkers,Priory of the Sacred Flame,psf,,https://www.wowhead.com/ptr-2/item=221129/divine-pyrewalkers,221129
Mail,Legs,Self-Repairing Cuisses,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168974/self-repairing-cuisses,168974
Mail,Legs,Chemical Blaster's Legguards,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=158341/chemical-blasters-legguards,158341
Mail,Feet,Gloomstomper's Sabatons,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221106/gloomstompers-sabatons,221106
Mail,Feet,Treads of the Galvanic Skysoarer,The Rookery,rook,,https://www.wowhead.com/ptr-2/item=221035/treads-of-the-galvanic-skysoarer,221035
Mail,Feet,Boots of Shuddering Matter,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178796/boots-of-shuddering-matter,178796
Mail,Feet,Regal Mekanospurs,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168982/regal-mekanospurs,168982
Plate,Helm,Waxsteel Greathelm,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221100/waxsteel-greathelm,221100
Plate,Helm,Monstrosity's Gaze,The Rookery,rook,,https://www.wowhead.com/ptr-2/item=221047/monstrositys-gaze,221047
Plate,Head,Apogee Inventor's Goggles,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=235222/apogee-inventors-goggles,235222
Plate,Shoulder,Foam-Ridden Pauldrons,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221052/foam-ridden-pauldrons,221052
Plate,Shoulder,Reanimator's Pyreforged Shoulders,Priory of the Sacred Flame,psf,,https://www.wowhead.com/ptr-2/item=221203/reanimators-pyreforged-shoulders,221203
Plate,Shoulder,Unyielding Combatant's Pauldrons,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178802/unyielding-combatants-pauldrons,178802
Plate,Shoulder,Skyscorcher Pauldrons,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=235415/skyscorcher-pauldrons,235415
Plate,Chest,Slashproof Business Plate,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221069/slashproof-business-plate,221069
Plate,Chest,Muckdiver's Wading Plate,Operation: Floodgate,fg,,https://www.wowhead.com/ptr-2/item=234506/muckdivers-wading-plate,234506
Plate,Chest,Abdominal Securing Chestguard,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178793/abdominal-securing-chestguard,178793
Plate,Chest,Mechanized Plate Chasse,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=235809/mechanized-plate-chasse,235809
Plate,Wrist,Fuzzy Cindercuffs,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221064/fuzzy-cindercuffs,221064
Plate,Wrist,Flameforged Armguard,Priory of the Sacred Flame,psf,,https://www.wowhead.com/ptr-2/item=221118/flameforged-armguard,221118
Plate,Wrist,Pit Fighter's Wristguards,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178807/pit-fighters-wristguards,178807
Plate,Wrist,Anodized Deflectors,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168978/anodized-deflectors,168978
Plate,Wrist,Stonefury Vambraces,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=158359/stonefury-vambraces,158359
Plate,Hands,Caliginous Claspers,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221112/caliginous-claspers,221112
Plate,Hands,Jumpstarter's Scaffold-Scrapers,Operation: Floodgate,fg,,https://www.wowhead.com/ptr-2/item=234504/jumpstarters-scaffold-scrapers,234504
Plate,Hands,Gauntlets of Absolute Authority,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168980/gauntlets-of-absolute-authority,168980
Plate,Hands,Power-Assisted Vicegrips,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=155864/power-assisted-vicegrips,155864
Plate,Waist,Lightning-Conductor's Bands,The Rookery,rook,,https://www.wowhead.com/ptr-2/item=221040/lightning-conductors-bands,221040
Plate,Waist,Venture Contractor's Floodlight,Operation: Floodgate,fg,,https://www.wowhead.com/ptr-2/item=234505/venture-contractors-floodlight,234505
Plate,Waist,Automatic Waist Tightener,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168976/automatic-waist-tightener,168976
Plate,Legs,Thunder-Clad Legguards,The Rookery,rook,,https://www.wowhead.com/ptr-2/item=221034/thunder-clad-legguards,221034
Plate,Legs,Galvanized Oxxein Legguards,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178800/galvanized-oxxein-legguards,178800
Plate,Legs,Heavy Alloy Legplates,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168966/heavy-alloy-legplates,168966
Plate,Legs,Leadplate Legguards,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=159451/leadplate-legguards,159451
Plate,Feet,Hops-Laden Greatboots,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221061/hops-laden-greatboots,221061
Plate,Feet,Devoted Plate Walkers,Priory of the Sacred Flame,psf,,https://www.wowhead.com/ptr-2/item=221123/devoted-plate-walkers,221123
Plate,Feet,Pyroclastic Greatboots,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168972/pyroclastic-greatboots,168972
Plate,Feet,Sabatons of Rampaging Elements,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=159679/sabatons-of-rampaging-elements,159679
Trinket,Trinket,Cinderbrew Stein,Cinderbrew Meadery,brew,N/A (Tank),https://www.wowhead.com/ptr-2/item=219297/cinderbrew-stein,219297
Trinket,Trinket,Tome of Light's Devotion,Priory of the Sacred Flame,psf,N/A (Tank),https://www.wowhead.com/ptr-2/item=219309/tome-of-lights-devotion,219309
Trinket,Trinket,Remnant of Darkness,Darkflame Cleft,dfc,Primary Stat,https://www.wowhead.com/ptr-2/item=219307/remnant-of-darkness,219307
Trinket,Trinket,Signet of the Priory,Priory of the Sacred Flame,psf,Primary Stat,https://www.wowhead.com/ptr-2/item=219308/signet-of-the-priory,219308
Trinket,Trinket,Sigil of Algari Concordance,The Rookery,rook,Primary Stat,https://www.wowhead.com/ptr-2/item=219295/sigil-of-algari-concordance,219295
Trinket,Trinket,Conductor's Wax Whistle,Darkflame Cleft,dfc,Agility,https://www.wowhead.com/ptr-2/item=219304/conductors-wax-whistle,219304
Trinket,Trinket,Charged Stormrook Plume,The Rookery,rook,Agility,https://www.wowhead.com/ptr-2/item=219294/charged-stormrook-plume,219294
Trinket,Trinket,Azerokk's Resonating Heart,The MOTHERLODE!!,ml,Agility,https://www.wowhead.com/ptr-2/item=159612/azerokks-resonating-heart,159612
Trinket,Trinket,Ravenous Honey Buzzer,Cinderbrew Meadery,brew,Agility/Strength,https://www.wowhead.com/ptr-2/item=219298/ravenous-honey-buzzer,219298
Trinket,Trinket,Improvised Seaforium Pacemaker,Operation: Floodgate,fg,Agility/Strength,https://www.wowhead.com/ptr-2/item=232541/improvised-seaforium-pacemaker,232541
Trinket,Trinket,Grim Codex,Theater of Pain,top,Agility/Strength,https://www.wowhead.com/ptr-2/item=178811/grim-codex,178811
Trinket,Trinket,K.U.-J.0.'s Flame Vents,Operation: Mechagon,work,Agility/Strength,https://www.wowhead.com/ptr-2/item=232546/k-u-j-0-s-flame-vents,232546
Trinket,Trinket,Modular Platinum Plating,Operation: Mechagon,work,Agility/Strength (Tank),https://www.wowhead.com/ptr-2/item=168965/modular-platinum-plating,168965
Trinket,Trinket,Viscera of Coalesced Hatred,Theater of Pain,top,Strength,https://www.wowhead.com/ptr-2/item=178808/viscera-of-coalesced-hatred,178808
Trinket,Trinket,Razdunk's Big Red Button,The MOTHERLODE!!,ml,Strength,https://www.wowhead.com/ptr-2/item=159611/razdunks-big-red-button,159611
Trinket,Trinket,Synergistic Brewterializer,Cinderbrew Meadery,brew,Intellect,https://www.wowhead.com/ptr-2/item=219299/synergistic-brewterializer,219299
Trinket,Trinket,Carved Blazikon Wax,Darkflame Cleft,dfc,Intellect,https://www.wowhead.com/ptr-2/item=219305/carved-blazikon-wax,219305
Trinket,Trinket,Bursting Lightshard,Priory of the Sacred Flame,psf,Intellect,https://www.wowhead.com/ptr-2/item=219310/bursting-lightshard,219310
Trinket,Trinket,Entropic Skardyn Core,The Rookery,rook,Intellect,https://www.wowhead.com/ptr-2/item=219296/entropic-skardyn-core,219296
Trinket,Trinket,Gigazap's Zap-Cap,Operation: Floodgate,fg,Intellect,https://www.wowhead.com/ptr-2/item=232545/gigazaps-zap-cap,232545
Trinket,Trinket,Soulletting Ruby,Theater of Pain,top,Intellect,https://www.wowhead.com/ptr-2/item=178809/soulletting-ruby,178809
Trinket,Trinket,Burin of the Candle King,Darkflame Cleft,dfc,Intellect (Healer),https://www.wowhead.com/ptr-2/item=219306/burin-of-the-candle-king,219306
Trinket,Trinket,Darkfuse Medichopper,Operation: Floodgate,fg,Intellect (Healer),https://www.wowhead.com/ptr-2/item=232542/darkfuse-medichopper,232542
Trinket,Trinket,Vial of Spectral Essence,Theater of Pain,top,Intellect (Healer),https://www.wowhead.com/ptr-2/item=178810/vial-of-spectral-essence,178810
Trinket,Trinket,Ingenious Mana Battery,Operation: Mechagon,work,Intellect (Healer),https://www.wowhead.com/ptr-2/item=169344/ingenious-mana-battery,169344
Trinket,Trinket,Ringing Ritual Mud,Operation: Floodgate,fg,Versatility,https://www.wowhead.com/ptr-2/item=232543/ringing-ritual-mud,232543
Axe,1H Weapon,Hyperactive Stormclaw,The Rookery,rook,Agility,https://www.wowhead.com/ptr-2/item=221033/hyperactive-stormclaw,221033
Axe,1H Weapon,Dark Zone Headtaker,Darkflame Cleft,dfc,Intellect,https://www.wowhead.com/ptr-2/item=221105/dark-zone-headtaker,221105
Axe,1H Weapon,Profit Divider,Cinderbrew Meadery,brew,Strength,https://www.wowhead.com/ptr-2/item=221068/profit-divider,221068
Axe,1H Weapon,Rail Rider's Bisector,Darkflame Cleft,dfc,Strength,https://www.wowhead.com/ptr-2/item=221096/rail-riders-bisector,221096
Axe,1H Weapon,Gorestained Cleaver,Theater of Pain,top,Agility,https://www.wowhead.com/ptr-2/item=178863/gorestained-cleaver,178863
Dagger,1H Weapon,Crepuscular Carver,Darkflame Cleft,dfc,Agility,https://www.wowhead.com/ptr-2/item=221110/crepuscular-carver,221110
Dagger,1H Weapon,Shadowskean of the Colossus,The Rookery,rook,Agility,https://www.wowhead.com/ptr-2/item=221044/shadowskean-of-the-colossus,221044
Dagger,1H Weapon,Geezle's Coercive Volt-ohmmeter,Operation: Floodgate,fg,Agility,https://www.wowhead.com/ptr-2/item=234493/geezles-coercive-volt-ohmmeter,234493
Dagger,1H Weapon,Apex Perforator,Operation: Mechagon,work,Agility,https://www.wowhead.com/ptr-2/item=168962/apex-perforator,168962
Dagger,1H Weapon,Scalding Queenmaker's Shiv,Cinderbrew Meadery,brew,Intellect,https://www.wowhead.com/ptr-2/item=221062/scalding-queenmakers-shiv,221062
Dagger,1H Weapon,Fleshcrafter's Knife,Theater of Pain,top,Intellect,https://www.wowhead.com/ptr-2/item=178789/fleshcrafters-knife,178789
Mace,1H Weapon,Crusher of the Unsettled,Cinderbrew Meadery,brew,Agility,https://www.wowhead.com/ptr-2/item=221051/crusher-of-the-unsettled,221051
Mace,1H Weapon,Starforged Seraph's Mace,Priory of the Sacred Flame,psf,Agility,https://www.wowhead.com/ptr-2/item=221128/starforged-seraphs-mace,221128
Mace,1H Weapon,Gorebound Predator's Gavel,Theater of Pain,top,Agility,https://www.wowhead.com/ptr-2/item=178864/gorebound-predators-gavel,178864
Mace,1H Weapon,Behemoth Kneebender,The Rookery,rook,Strength,https://www.wowhead.com/ptr-2/item=221046/behemoth-kneebender,221046
Mace,1H Weapon,Hand of Beledar,Priory of the Sacred Flame,psf,Intellect,https://www.wowhead.com/ptr-2/item=221122/hand-of-beledar,221122
Mace,1H Weapon,Electrifying Cognitive Amplifier,Operation: Mechagon,work,Intellect,https://www.wowhead.com/ptr-2/item=168955/electrifying-cognitive-amplifier,168955
